user_id,age,number_dependents_clean,last_month_salary_clean
35826,76,0,4486
35825,69,0,4500
35824,45,0,1200
35823,37,0,2000
35822,69,0,2549
35821,56,2,5200
35820,41,0,5400
35819,48,1,12526
35818,62,1,11000
35817,29,0,2000
35816,59,0,7500
35815,29,1,8916
35814,28,0,5400
35813,64,0,5400
35812,76,0,5400
35811,34,0,2000
35810,50,2,7666
35809,54,0,8200
35808,50,2,7733
35806,30,2,2751
35805,54,0,11552
35804,42,0,2458
35803,67,0,2940
35802,44,0,6166
35801,52,0,5400
35800,53,0,5400
35799,42,0,3236
35798,48,2,9651
35797,64,0,5013
35796,31,0,375
35795,63,2,5400
35794,64,0,5400
35793,43,0,5400
35792,58,0,5400
35791,72,0,1060
35790,54,3,7440
35789,54,2,5000
35788,54,1,5400
35787,58,0,6333
35786,49,1,5875
35785,37,0,1
35784,47,1,1416
35783,28,0,5416
35782,61,0,12595
35781,54,0,8082
35780,46,0,3554
35778,55,1,4600
35777,63,0,1344
35776,74,0,4622
35775,64,1,5400
35774,65,0,4166
35773,49,1,2600
35772,36,0,1800
35771,36,0,5400
35770,49,2,11583
35769,38,0,5400
35768,53,0,5842
35767,62,0,7400
35766,53,0,5400
35765,41,2,10000
35764,67,1,5400
35763,71,0,10500
35762,28,1,6626
35761,57,1,10000
35760,54,3,5417
35759,77,0,5400
35758,77,0,17251
35757,56,0,5400
35756,55,0,2400
35755,58,0,9800
35754,62,0,9533
35753,39,0,9300
35752,33,3,7200
35751,37,3,9550
35750,26,0,3500
35749,35,1,3297
35748,37,2,3300
35747,66,0,8358
35745,44,2,6300
35744,29,2,3400
35743,51,0,4200
35742,62,1,8875
35741,58,0,5400
35740,74,0,6000
35739,53,1,9529
35738,38,0,5400
35737,63,0,530
35736,42,0,1500
35735,77,0,1500
35734,69,0,2612
35733,54,2,6200
35732,58,0,4466
35731,42,1,8000
35730,63,0,3416
35729,60,1,6900
35728,77,0,5400
35727,54,1,4675
35726,48,0,1700
35725,44,2,4400
35724,67,0,2690
35723,51,0,5400
35722,39,0,1
35721,62,0,4166
35720,65,0,14300
35719,50,0,3000
35718,58,0,14591
35717,38,1,5400
35716,43,0,5400
35715,64,0,24500
35714,60,1,6000
35713,62,0,4408
35712,35,2,15475
35711,55,2,2505
35710,56,0,7000
35709,36,0,11223
35708,70,1,5400
35707,51,1,3666
35706,45,0,1800
35705,26,0,3750
35704,73,2,16500
35703,54,0,2842
35702,65,0,8434
35701,51,2,4800
35700,69,0,5834
35699,57,1,5400
35698,57,1,6433
35697,44,1,5100
35696,49,1,6600
35695,49,1,5400
35694,38,0,9989
35693,51,0,3200
35692,38,3,8050
35691,31,0,3133
35690,80,0,2000
35689,46,4,5400
35688,22,0,2000
35687,71,0,3700
35686,26,0,500
35685,50,0,5400
35683,40,2,8416
35682,57,0,5400
35681,38,3,10000
35680,23,0,736
35679,39,0,5400
35678,55,2,1750
35677,26,0,5400
35676,65,0,9454
35675,38,0,6283
35674,38,0,5900
35673,56,1,5400
35672,62,0,2500
35671,61,0,12000
35670,44,0,2685
35669,72,0,4141
35668,58,0,1600
35667,40,1,2935
35666,67,0,6128
35665,65,1,7820
35664,56,0,4888
35663,45,4,8900
35662,71,1,2725
35661,65,0,5400
35660,67,1,5400
35659,40,2,5916
35658,37,0,5400
35657,66,1,7386
35656,49,4,5166
35655,72,1,16666
35654,47,0,2350
35653,39,0,4710
35652,58,2,6466
35651,44,3,5400
35650,40,0,5400
35649,66,0,5400
35648,63,0,13000
35647,69,0,10438
35646,47,0,5400
35645,55,0,3800
35644,53,0,5833
35643,52,1,8528
35642,39,0,5400
35641,42,0,4416
35640,30,3,4173
35639,45,4,11272
35638,49,0,5400
35637,53,0,2720
35636,45,3,4100
35635,65,0,10500
35634,48,1,5400
35633,35,0,2300
35632,54,1,6000
35631,39,0,2816
35630,21,0,700
35629,38,2,4000
35628,50,3,5400
35627,37,0,4000
35626,27,2,4200
35625,72,0,5400
35624,58,2,7583
35623,80,0,6666
35622,45,2,2500
35621,69,0,3200
35620,40,4,12700
35619,54,3,5783
35618,58,0,2500
35617,32,0,3681
35616,59,0,12966
35615,34,0,9500
35614,73,0,6144
35613,36,2,3500
35612,67,0,5400
35611,38,2,1997
35610,25,0,1400
35609,36,1,4255
35608,40,0,5400
35607,49,2,9950
35606,68,1,6000
35605,53,5,15000
35604,39,0,5400
35603,51,2,14000
35602,46,0,150
35601,48,1,5000
35600,42,3,4347
35599,55,1,12500
35598,72,0,16700
35596,43,1,16668
35595,54,3,7666
35594,52,0,5400
35593,48,3,4501
35592,49,0,2020
35591,31,0,9000
35590,46,2,5999
35589,73,0,5400
35588,37,1,10857
35587,46,2,13000
35586,45,4,4519
35585,27,1,2200
35584,47,0,1196
35583,22,0,450
35582,50,0,5400
35581,37,1,12500
35580,42,1,8046
35579,67,0,5000
35578,43,8,7500
35577,38,3,10500
35576,54,1,5400
35575,38,0,8416
35574,45,1,4400
35573,49,0,5400
35572,50,2,8300
35571,30,0,5400
35570,60,2,11224
35569,50,2,14916
35568,22,0,1600
35567,57,1,5532
35566,64,0,21250
35565,32,0,5400
35564,56,0,9466
35563,55,1,10833
35562,22,0,1000
35561,55,0,5400
35560,26,0,2000
35559,35,3,5540
35558,67,0,5400
35557,34,0,2800
35556,37,1,2450
35555,61,0,5400
35554,64,0,6666
35553,33,0,6500
35552,65,0,2600
35551,44,4,11600
35550,39,2,5000
35549,59,0,2400
35548,52,1,3333
35547,65,0,5400
35546,54,0,5400
35545,39,1,8750
35544,40,1,3800
35543,43,0,5400
35542,65,0,9000
35541,52,3,10200
35540,55,2,5400
35539,38,1,5300
35538,41,0,3208
35537,26,0,3000
35536,42,2,4569
35535,63,0,3937
35534,53,3,5700
35533,51,0,3200
35532,29,4,4400
35531,42,0,3637
35530,55,4,7012
35529,51,1,12812
35528,58,0,7855
35526,78,1,3874
35525,61,1,3737
35524,53,1,8300
35523,52,3,7106
35522,24,0,2100
35521,41,1,1860
35520,54,3,5400
35519,50,0,5400
35518,60,2,5000
35516,68,0,9053
35515,67,0,5400
35514,60,0,0
35513,44,3,10100
35512,61,0,5400
35511,52,1,10904
35510,37,0,5400
35509,56,1,5400
35508,46,0,5400
35507,30,1,2200
35506,53,0,12591
35505,73,0,3784
35504,43,0,5200
35503,48,3,8833
35502,61,0,4000
35501,50,0,5400
35500,51,3,5985
35499,45,2,4000
35498,70,0,10500
35497,49,3,9450
35496,58,0,9906
35495,48,0,8268
35494,73,0,2500
35493,71,0,9475
35492,54,0,4700
35491,53,0,3500
35490,27,2,2983
35489,73,0,4075
35488,60,1,6166
35487,79,0,5400
35486,31,1,2900
35485,53,0,8710
35484,61,0,6540
35483,33,1,5026
35482,57,0,5400
35480,23,0,900
35479,47,1,5400
35478,48,2,4160
35477,42,3,7733
35476,64,0,5500
35475,52,2,6000
35474,61,0,5400
35473,74,1,5425
35472,41,3,7550
35471,37,1,1100
35470,55,1,4166
35469,34,1,6666
35468,33,0,2583
35467,51,0,5400
35466,46,4,4416
35465,27,0,4541
35464,38,2,2800
35463,52,0,5400
35462,73,0,2150
35461,69,0,7083
35460,28,0,2333
35459,68,0,3972
35458,39,0,6666
35456,64,0,7500
35455,44,1,4513
35454,43,3,5400
35453,55,0,6300
35452,73,0,5400
35451,67,0,6215
35450,56,2,18000
35449,49,0,5400
35448,65,0,2200
35447,55,0,5400
35446,53,1,5400
35445,44,5,10000
35444,41,0,3000
35443,72,0,5833
35442,71,0,7629
35441,36,1,2666
35440,72,0,5400
35439,51,0,8200
35438,61,0,3660
35437,30,1,5833
35436,56,0,5400
35435,58,0,6666
35434,26,0,5862
35433,44,2,12000
35432,55,0,4799
35431,50,0,6397
35430,46,1,6901
35429,21,2,2250
35428,30,0,7500
35427,29,0,2200
35426,50,0,4000
35425,48,1,5400
35423,55,0,5833
35422,52,2,500
35421,45,2,9453
35420,30,0,5000
35419,63,0,5400
35418,56,0,7000
35417,22,1,5400
35416,42,2,5500
35415,76,0,6723
35414,28,0,2100
35413,79,0,3877
35412,36,0,3500
35411,29,1,5300
35410,78,1,10700
35409,44,0,7500
35408,52,0,5400
35407,76,0,7666
35406,36,0,3000
35405,56,0,4500
35404,52,0,4200
35403,57,0,1500
35402,60,0,5400
35401,77,1,4001
35400,65,0,2677
35399,40,3,5000
35398,69,0,5400
35397,64,0,4667
35396,58,0,6850
35395,29,0,3671
35394,37,3,748
35393,49,0,7400
35392,34,0,5400
35391,52,2,1000
35390,65,0,5400
35389,67,0,13334
35388,46,2,4088
35387,27,0,1227
35386,56,0,5400
35385,57,0,1200
35384,54,1,15406
35383,61,0,4166
35382,45,1,6180
35381,59,0,1218
35380,76,0,7585
35379,50,1,9200
35378,65,1,2950
35377,48,0,4950
35376,49,2,5133
35375,57,0,2579
35374,45,0,5833
35373,43,1,1691
35372,65,0,6663
35371,50,0,7000
35370,72,0,2329
35369,49,2,12188
35368,23,0,0
35367,51,2,12500
35366,74,0,1246
35365,29,1,1632
35364,47,0,9282
35363,47,4,11250
35362,51,2,9200
35361,63,0,4516
35360,48,1,5000
35359,33,0,0
35358,67,0,6000
35357,30,0,5000
35356,47,0,8329
35355,27,0,0
35354,52,1,10500
35353,70,0,3939
35352,29,0,4016
35351,68,0,7500
35350,64,1,8733
35349,35,0,13406
35348,33,0,9500
35347,30,2,5400
35346,68,0,13749
35345,38,0,3500
35344,47,0,1500
35343,54,0,5000
35342,39,0,3334
35341,50,0,5400
35340,61,0,5400
35339,62,0,4500
35338,27,0,3301
35337,72,0,2250
35336,43,1,5900
35335,79,0,3500
35334,54,0,4530
35333,49,1,6666
35332,63,0,5400
35331,41,2,5000
35330,52,0,10683
35329,35,0,5000
35328,37,0,8416
35327,56,1,0
35326,75,0,1750
35325,70,0,5400
35324,60,0,4351
35323,29,0,1675
35322,45,0,6089
35321,42,1,3400
35320,37,1,8025
35319,50,0,3600
35318,41,0,5400
35317,58,0,5400
35316,76,0,3200
35315,52,1,8300
35314,25,0,2050
35313,64,3,15333
35312,38,0,5400
35310,34,0,1950
35309,33,3,5000
35308,58,3,8916
35307,62,0,1147
35306,61,0,5400
35305,60,0,5400
35304,62,1,6345
35303,50,0,8950
35302,68,0,5753
35301,58,0,3766
35299,52,2,18916
35298,55,1,5400
35297,69,0,14166
35296,30,1,5400
35295,41,0,5400
35294,67,2,8000
35293,45,1,6100
35292,46,2,11200
35291,77,0,5000
35290,43,0,5400
35289,61,2,17866
35288,61,0,0
35287,50,0,4250
35286,57,2,5400
35285,26,0,2290
35284,64,0,1
35283,65,1,5400
35282,52,4,8377
35281,49,0,1400
35280,34,4,6700
35279,54,2,4000
35278,42,3,3500
35277,70,0,4200
35276,31,2,2000
35275,80,0,4200
35274,58,2,5400
35273,33,0,5400
35272,42,0,5400
35271,56,0,5201
35270,80,0,5833
35269,67,2,5000
35268,63,0,3400
35267,50,0,22818
35266,76,0,5616
35265,66,0,5840
35264,33,0,2916
35263,38,2,2900
35262,47,1,41000
35261,31,0,8333
35260,76,1,6666
35259,76,0,4792
35258,31,0,5000
35257,67,0,30000
35256,66,1,4667
35255,48,0,7000
35254,53,2,7200
35253,62,0,0
35252,71,0,5400
35251,48,4,5400
35250,43,0,7000
35249,44,3,7000
35248,42,2,15800
35247,31,0,1200
35245,47,2,8000
35244,37,3,2992
35243,78,0,5400
35242,35,0,4000
35241,24,0,5400
35240,61,3,5400
35239,67,1,5400
35238,44,2,10416
35237,29,2,3783
35236,60,0,3150
35234,60,0,1
35233,76,1,5140
35232,63,2,9200
35231,32,0,4500
35230,54,0,8441
35229,47,2,5400
35228,80,0,9755
35227,61,2,4666
35226,47,0,4606
35225,48,1,6000
35222,51,2,8600
35221,45,2,10475
35220,37,1,8000
35219,69,0,4500
35218,52,0,0
35217,62,1,8250
35216,59,0,596
35215,54,2,8860
35214,59,1,4400
35213,68,0,9600
35212,48,3,10707
35211,50,0,5356
35210,68,0,8800
35209,42,3,7200
35208,55,0,2326
35207,58,0,5900
35206,30,2,5000
35205,34,0,3640
35204,51,0,5400
35203,31,0,8950
35202,57,3,9425
35201,64,0,3250
35200,53,3,11875
35199,49,2,4410
35198,61,0,8333
35197,37,2,5833
35196,52,0,5166
35195,65,0,1200
35194,42,2,10000
35193,27,0,3680
35192,50,1,1070
35191,50,0,5400
35190,75,0,3500
35189,44,2,5400
35188,30,0,5400
35187,34,0,5400
35186,24,1,2171
35185,55,1,5141
35184,33,0,5400
35183,60,1,3900
35182,34,0,14600
35181,71,1,5400
35180,62,0,5400
35179,59,0,4500
35178,56,1,5400
35177,38,3,4265
35176,60,2,12600
35175,44,2,4922
35174,40,1,2127
35173,46,4,8000
35172,31,1,1440
35171,60,0,6541
35170,41,2,3000
35169,42,0,5833
35168,49,0,8833
35167,58,0,4000
35166,73,0,3900
35165,39,1,5387
35164,49,1,9131
35163,30,0,2715
35162,53,0,6767
35161,79,0,14000
35160,48,0,1840
35159,58,1,6000
35158,50,1,9000
35157,60,1,9200
35156,30,0,5400
35155,42,5,5118
35154,28,1,5400
35153,62,0,5400
35152,28,0,1
35151,33,3,4810
35150,65,0,5400
35149,64,0,5400
35148,66,0,5400
35147,66,0,5400
35146,58,2,5016
35144,46,0,5400
35143,59,0,8492
35142,42,2,10804
35141,58,0,5400
35140,55,0,5400
35139,41,0,18600
35138,49,3,14583
35137,40,3,10000
35136,36,0,7082
35135,52,0,2050
35134,80,0,879
35133,79,0,5114
35132,38,0,5846
35131,51,1,3400
35130,35,0,8308
35129,77,1,3850
35128,47,5,6200
35127,39,0,4708
35126,45,0,5712
35125,52,0,5900
35124,68,0,3666
35123,64,4,5400
35122,39,0,3750
35121,59,1,8641
35120,39,3,3424
35119,64,0,2296
35118,42,3,0
35117,61,1,5253
35116,58,1,4000
35115,55,0,2769
35114,49,0,2000
35113,30,0,7190
35112,59,0,13600
35111,28,1,3000
35110,61,0,5400
35109,52,1,3400
35108,55,2,9637
35107,70,0,5400
35106,49,0,3000
35105,49,0,5400
35104,46,0,4581
35103,49,0,5400
35102,59,0,7025
35101,43,3,0
35100,62,0,9400
35099,37,0,3333
35098,42,2,14700
35097,57,0,6675
35096,48,0,2361
35095,55,0,3000
35094,39,4,3500
35093,69,1,11000
35092,51,0,2600
35091,53,0,4166
35090,41,0,10500
35089,49,2,5000
35088,62,0,7748
35087,48,0,6666
35086,25,0,1500
35085,59,2,10500
35084,55,4,6083
35083,35,0,4000
35082,49,0,5187
35081,41,0,7500
35080,63,0,6666
35079,49,3,5500
35078,71,0,1640
35077,54,2,4300
35076,73,0,8267
35075,63,0,5400
35074,30,0,2500
35073,29,1,9500
35072,61,0,8731
35071,63,0,6900
35070,35,3,10465
35069,25,1,5400
35068,53,0,7750
35067,60,0,5400
35066,29,2,3700
35065,55,0,5000
35064,46,0,5400
35063,39,0,5308
35062,40,0,10000
35061,67,0,5504
35060,46,2,14000
35059,47,1,22350
35058,73,0,2125
35057,60,1,4750
35056,62,0,5400
35055,54,3,5400
35054,36,0,2496
35053,80,0,5400
35052,38,0,5400
35051,50,1,7000
35050,40,3,4600
35049,49,0,2560
35048,46,1,3750
35047,59,1,5400
35046,63,1,4945
35045,41,0,1500
35044,36,0,3400
35043,29,0,1250
35042,33,0,3250
35041,75,0,9000
35040,49,4,7890
35039,62,1,6500
35038,24,0,1084
35037,42,1,7500
35036,45,0,17675
35034,75,1,5400
35033,49,0,5400
35032,33,0,2500
35031,54,0,21000
35030,55,2,14082
35029,66,1,5833
35028,55,2,18000
35027,48,0,6488
35026,39,0,3000
35025,40,2,3667
35024,45,0,4200
35023,33,1,5000
35022,61,0,2000
35021,61,0,5400
35020,56,0,7000
35019,41,1,8400
35018,48,0,2000
35017,59,0,4989
35016,60,0,2916
35015,42,1,4400
35014,43,0,7000
35013,56,0,2933
35012,67,0,5400
35011,52,0,7200
35009,57,0,3672
35008,50,0,5400
35007,38,0,3400
35006,31,2,4800
35005,51,1,4432
35004,44,0,12500
35003,48,3,6458
35002,28,1,3000
35001,39,0,5850
35000,47,2,7500
34999,71,0,5400
34998,32,0,2400
34997,38,0,4200
34996,49,0,5400
34995,61,0,6600
34994,71,0,5000
34993,46,0,5400
34992,62,1,8202
34991,55,0,3214
34990,74,0,3900
34989,62,0,5400
34988,63,0,5400
34987,52,0,11166
34986,33,2,10973
34985,53,2,9200
34984,62,0,5400
34983,40,1,2963
34982,30,1,3275
34981,48,2,9000
34980,58,0,5400
34979,37,0,15520
34978,25,0,2200
34977,49,4,5563
34976,32,0,5400
34975,50,0,5400
34974,61,0,4101
34972,52,1,2094
34971,41,0,3369
34970,55,0,5350
34969,46,1,3300
34968,72,1,3950
34967,47,4,8280
34966,64,1,4000
34965,49,1,3958
34964,32,0,2333
34963,41,2,11666
34961,27,2,2923
34960,79,0,600
34959,62,0,5400
34958,56,1,3570
34957,59,0,5000
34956,79,1,5400
34955,27,0,5400
34954,72,0,5400
34953,48,0,3333
34952,39,0,3425
34951,66,0,5400
34950,48,0,3208
34949,43,2,6477
34948,37,1,2600
34947,64,0,6800
34946,51,2,15500
34945,59,2,7333
34943,43,0,1500
34942,48,0,9000
34941,59,2,2700
34940,41,0,7100
34939,48,3,8500
34938,55,0,6916
34937,58,0,5400
34936,53,3,8986
34935,39,0,1833
34934,47,0,12750
34933,34,0,6250
34932,32,2,2418
34931,68,2,8136
34930,44,1,5000
34929,39,0,6550
34928,48,0,4184
34927,32,1,3103
34926,51,0,5200
34925,77,1,5000
34924,46,1,2278
34923,31,4,3000
34922,57,1,15000
34921,49,0,2299
34920,64,0,3500
34919,70,0,2275
34918,61,0,5400
34917,36,0,2720
34916,59,0,18450
34915,31,0,5400
34914,31,2,5000
34913,38,3,3900
34912,80,0,3172
34911,61,1,6950
34910,44,0,6666
34909,32,2,3847
34908,41,0,8000
34907,52,0,4166
34906,55,2,5400
34904,75,0,5400
34903,54,1,5400
34902,64,1,5400
34901,35,0,2907
34900,56,2,4525
34899,58,4,9000
34898,64,1,5400
34896,47,1,5400
34895,51,1,16586
34894,63,0,3350
34893,60,0,5400
34892,56,0,5400
34891,30,2,5417
34890,50,0,2771
34889,68,1,5400
34888,61,0,5400
34887,45,1,5400
34886,56,2,2706
34885,57,0,5400
34884,48,9,11400
34883,55,0,2680
34882,63,0,5400
34881,38,2,9714
34880,71,0,2311
34879,41,1,13487
34878,29,0,5000
34877,42,1,8967
34876,30,0,6270
34875,39,2,3600
34874,40,2,6350
34873,45,1,3000
34872,42,0,5400
34871,75,0,10788
34870,58,2,11666
34869,39,0,6380
34868,29,2,0
34867,39,0,5400
34866,58,2,8700
34865,44,4,9100
34864,61,3,5400
34863,35,1,2500
34862,54,0,4200
34861,65,1,12007
34860,49,2,4976
34859,59,1,8013
34858,61,0,10555
34857,37,1,3121
34856,42,3,8250
34855,43,0,5400
34854,58,0,4600
34853,39,2,33600
34852,40,2,7870
34851,49,0,8783
34849,22,0,1700
34848,68,0,2666
34847,25,0,5400
34846,72,0,5400
34845,63,0,2800
34844,43,1,7500
34843,67,0,6000
34841,39,0,8336
34840,78,0,2407
34839,59,0,7833
34838,42,2,2080
34837,34,1,4201
34836,46,3,4141
34835,39,0,5400
34834,59,2,4000
34833,58,1,6000
34832,76,1,12647
34831,58,1,3850
34829,53,0,2101
34828,67,1,10881
34827,61,0,5400
34826,42,2,5400
34825,46,0,9510
34824,70,0,4001
34823,43,2,6875
34822,57,0,4365
34821,47,0,5400
34820,76,0,5400
34819,43,0,1666
34817,57,0,19825
34816,50,0,5400
34815,37,0,6180
34814,36,3,2200
34813,58,0,4000
34812,55,2,15149
34811,56,1,6100
34810,30,3,5400
34809,30,0,6825
34808,63,0,5400
34807,46,0,8000
34806,31,0,5400
34805,62,1,7300
34804,45,0,5400
34803,49,0,12666
34802,48,3,11666
34801,64,0,4600
34800,43,3,18750
34799,44,4,3017
34798,72,0,5400
34797,49,5,6620
34796,28,0,4200
34795,66,0,9166
34794,57,1,5400
34793,61,2,15500
34792,49,5,8000
34791,26,0,5050
34790,50,0,11136
34789,64,1,3920
34788,64,0,0
34787,57,3,4000
34786,54,1,6258
34785,72,1,7375
34784,60,1,8423
34783,33,1,3758
34782,36,0,4490
34781,52,2,8000
34780,47,0,5400
34779,48,2,6660
34778,68,1,7083
34777,51,0,11945
34776,34,1,9000
34775,80,2,4900
34774,48,0,13000
34773,33,0,3900
34772,64,0,3000
34771,70,0,5400
34770,39,2,9200
34769,52,0,2900
34768,61,0,7136
34767,68,0,9666
34766,52,1,4297
34765,38,2,8166
34764,57,2,7200
34763,71,0,5400
34762,65,0,5400
34761,48,3,4860
34760,47,1,4190
34759,51,0,1906
34758,23,0,2500
34757,31,0,1400
34756,60,0,2600
34755,55,2,4750
34754,30,0,4800
34753,32,0,0
34752,49,0,11166
34751,45,1,8600
34750,51,0,5400
34749,69,0,3000
34748,36,0,4583
34747,53,0,2160
34746,54,4,8366
34745,61,3,6500
34744,43,0,3920
34743,41,3,5216
34742,62,0,5400
34741,59,0,19366
34740,43,0,5384
34739,64,0,5400
34738,48,3,855
34737,36,1,15000
34736,67,0,1882
34735,48,0,3209
34734,48,2,7500
34732,63,0,2300
34731,34,5,8587
34730,44,1,7000
34729,53,0,10600
34728,80,0,5387
34727,46,2,5400
34726,31,3,7000
34725,45,2,4000
34724,59,3,10575
34723,47,0,5400
34722,49,0,5550
34721,57,0,0
34720,55,2,4000
34719,27,0,2600
34718,40,1,6813
34717,36,2,4300
34716,34,0,4220
34715,53,1,4833
34714,57,2,12000
34713,50,1,143000
34712,62,0,3100
34711,64,1,17499
34710,63,1,8750
34709,46,3,1377
34708,28,0,2400
34707,61,0,6056
34706,37,1,3916
34705,51,0,4104
34704,44,0,5400
34703,47,1,3000
34702,48,0,5400
34701,75,0,6716
34700,50,3,5800
34699,36,2,5000
34698,45,1,9800
34697,72,0,2110
34696,58,0,4583
34695,68,0,5400
34694,41,0,7500
34693,46,0,3820
34692,63,0,5400
34691,48,0,4250
34690,61,0,5400
34689,51,0,7565
34688,68,0,5400
34686,73,0,3609
34685,62,0,5400
34684,56,0,3725
34683,60,1,5400
34682,30,1,2804
34681,58,1,12000
34680,68,0,5400
34679,40,2,7168
34678,64,1,9250
34677,59,0,5400
34676,34,3,991
34675,30,0,4642
34674,22,0,1000
34673,35,0,5000
34672,43,0,3000
34671,61,0,4000
34670,35,1,5327
34669,56,1,6300
34668,51,1,7787
34667,52,1,4597
34666,67,1,5400
34665,34,0,2350
34664,39,2,4000
34663,53,0,15050
34662,61,0,5967
34661,72,0,5400
34660,55,0,4100
34659,23,0,800
34658,57,1,25600
34657,45,0,13450
34656,60,0,5400
34655,43,1,5700
34653,39,0,3880
34652,47,4,15183
34651,29,0,8000
34650,26,0,5400
34649,75,2,12500
34648,50,2,8800
34647,28,0,2500
34646,66,1,10500
34645,38,0,5400
34644,50,0,2450
34643,72,0,5750
34642,32,0,5400
34641,78,0,5400
34640,38,1,5000
34639,54,0,4000
34638,27,0,1920
34637,27,0,5400
34635,69,0,1600
34634,54,0,17500
34633,56,2,13000
34632,50,0,2333
34631,59,0,0
34630,49,1,5400
34629,23,0,929
34628,76,0,2050
34627,27,0,1920
34626,67,0,6000
34625,65,0,5400
34624,38,0,4375
34623,54,1,6496
34622,36,1,4166
34621,73,0,3292
34619,66,3,3364
34618,22,0,929
34617,60,0,8520
34616,44,1,3500
34615,27,0,5008
34614,36,1,11909
34613,49,1,11200
34612,79,0,7330
34611,45,3,9600
34610,62,0,12925
34609,26,0,2433
34608,46,0,5400
34607,68,1,13750
34606,46,0,20000
34605,57,0,10500
34604,45,0,4500
34603,40,5,3278
34602,52,1,4883
34601,55,2,4766
34600,49,1,7000
34599,42,3,5800
34598,45,1,4338
34597,30,0,1953
34596,70,0,4182
34595,59,0,8450
34594,50,2,8560
34593,48,4,4333
34592,63,0,5400
34591,33,3,3000
34590,47,0,4537
34589,35,1,0
34588,37,1,2984
34587,39,0,6400
34586,53,2,10500
34585,58,0,15000
34584,58,2,10000
34583,58,0,3750
34582,63,1,8870
34581,41,3,4180
34580,57,0,10805
34579,64,0,4000
34578,30,0,5400
34577,38,1,9305
34576,52,0,6000
34575,50,0,7700
34574,40,2,3416
34573,35,0,5400
34572,51,2,7750
34571,49,4,10666
34570,53,1,9500
34569,80,1,5400
34568,52,1,19488
34567,31,0,5400
34566,59,1,4600
34565,57,0,20000
34564,59,0,8333
34563,27,3,4000
34562,34,3,5416
34561,50,2,13000
